s_m,Lat,Lon,curvature,track_width,lateral_offset,boundary_L_m,boundary_R_m,boundary_L_lat,boundary_L_lon,boundary_R_lat,boundary_R_lon
3059.493911,39.236337,-77.968524,0.000079,14.000000,0.675000,2.275000,11.725000,39.236330,-77.968499,39.236371,-77.968652
3062.687537,39.236309,-77.968536,0.000132,14.000000,0.675000,2.275000,11.725000,39.236303,-77.968511,39.236344,-77.968664
3065.881164,39.236282,-77.968548,0.000049,14.000000,0.675000,2.275000,11.725000,39.236275,-77.968523,39.236316,-77.968676
3069.074790,39.236255,-77.968560,0.000092,14.000000,0.675000,2.275000,11.725000,39.236248,-77.968535,39.236289,-77.968688
3072.268416,39.236227,-77.968572,0.000084,14.000000,0.675000,2.275000,11.725000,39.236221,-77.968547,39.236262,-77.968700
3075.462042,39.236200,-77.968584,-0.000025,14.000000,0.675000,2.275000,11.725000,39.236193,-77.968559,39.236234,-77.968712
3078.655668,39.236173,-77.968596,-0.000028,14.000000,0.675000,2.275000,11.725000,39.236166,-77.968571,39.236207,-77.968724
3081.849295,39.236145,-77.968608,-0.000015,14.000000,0.675000,2.275000,11.725000,39.236139,-77.968583,39.236180,-77.968736
3085.042921,39.236118,-77.968620,0.000130,14.000000,0.675000,2.275000,11.725000,39.236111,-77.968595,39.236152,-77.968748
3088.236547,39.236091,-77.968632,0.000208,14.000000,0.675000,2.275000,11.725000,39.236084,-77.968607,39.236125,-77.968760
3091.430173,39.236063,-77.968643,-0.000180,14.000000,0.675000,2.275000,11.725000,39.236057,-77.968618,39.236098,-77.968772
3094.623800,39.236036,-77.968655,-0.000023,14.000000,0.675000,2.275000,11.725000,39.236029,-77.968630,39.236070,-77.968784
3097.817426,39.236009,-77.968667,0.000304,14.000000,0.675000,2.275000,11.725000,39.236002,-77.968642,39.236043,-77.968796
3101.011052,39.235981,-77.968679,-0.000061,14.000000,0.675000,2.275000,11.725000,39.235975,-77.968654,39.236015,-77.968808
3104.204678,39.235954,-77.968691,-0.000225,14.000000,0.675000,2.275000,11.725000,39.235947,-77.968666,39.235988,-77.968820
3107.398304,39.235927,-77.968703,0.000117,14.000000,0.675000,2.275000,11.725000,39.235920,-77.968678,39.235961,-77.968832
3110.591931,39.235899,-77.968715,0.000046,14.000000,0.675000,2.275000,11.725000,39.235893,-77.968690,39.235933,-77.968844
3113.785557,39.235872,-77.968727,-0.000045,14.000000,0.675000,2.275000,11.725000,39.235865,-77.968702,39.235906,-77.968856
3116.979183,39.235845,-77.968739,0.000077,14.000000,0.675000,2.275000,11.725000,39.235838,-77.968714,39.235879,-77.968868
3120.172809,39.235817,-77.968751,-0.000219,14.000000,0.675000,2.275000,11.725000,39.235811,-77.968726,39.235851,-77.968880
3123.366435,39.235790,-77.968763,-0.000113,14.000000,0.675000,2.275000,11.725000,39.235783,-77.968738,39.235824,-77.968891
3126.560062,39.235763,-77.968775,0.000196,14.000000,0.675000,2.275000,11.725000,39.235756,-77.968750,39.235797,-77.968903
3129.753688,39.235735,-77.968787,-0.000151,14.000000,0.675000,2.275000,11.725000,39.235729,-77.968762,39.235769,-77.968915
3132.947314,39.235708,-77.968799,-0.000232,14.000000,0.675000,2.275000,11.725000,39.235701,-77.968774,39.235742,-77.968927
3136.140940,39.235681,-77.968811,0.000098,14.000000,0.675000,2.275000,11.725000,39.235674,-77.968786,39.235715,-77.968939
3139.334566,39.235653,-77.968823,-0.000076,14.000000,0.675000,2.275000,11.725000,39.235647,-77.968798,39.235687,-77.968951
3142.528193,39.235626,-77.968835,0.000060,14.000000,0.675000,2.275000,11.725000,39.235619,-77.968810,39.235660,-77.968963
3145.721819,39.235599,-77.968847,0.000153,14.000000,0.675000,2.275000,11.725000,39.235592,-77.968822,39.235633,-77.968975
3148.915445,39.235571,-77.968858,-0.000293,14.000000,0.675000,2.275000,11.725000,39.235565,-77.968833,39.235605,-77.968987
3152.109071,39.235544,-77.968870,0.000007,14.000000,0.675000,2.275000,11.725000,39.235537,-77.968846,39.235578,-77.968999
3155.302698,39.235516,-77.968882,0.000252,14.000000,0.675000,2.275000,11.725000,39.235510,-77.968858,39.235551,-77.969011
3158.496324,39.235489,-77.968894,-0.000042,14.000000,0.675000,2.275000,11.725000,39.235482,-77.968869,39.235523,-77.969023
3161.689950,39.235462,-77.968906,0.000103,14.000000,0.675000,2.275000,11.725000,39.235455,-77.968881,39.235496,-77.969035
3164.883576,39.235434,-77.968918,0.000315,14.000000,0.675000,2.275000,11.725000,39.235428,-77.968893,39.235469,-77.969047
3168.077202,39.235407,-77.968930,0.000234,14.000000,0.675000,2.275000,11.725000,39.235400,-77.968905,39.235441,-77.969059
3171.270829,39.235380,-77.968942,-0.000108,14.000000,0.675000,2.275000,11.725000,39.235373,-77.968917,39.235414,-77.969071
3174.464455,39.235352,-77.968954,-0.000163,14.000000,0.675000,2.275000,11.725000,39.235346,-77.968929,39.235387,-77.969083
3177.658081,39.235325,-77.968966,0.000331,14.000000,0.675000,2.275000,11.725000,39.235318,-77.968941,39.235359,-77.969095
3180.851707,39.235298,-77.968978,0.000445,14.000000,0.675000,2.275000,11.725000,39.235291,-77.968953,39.235332,-77.969107
3184.045333,39.235270,-77.968990,0.000167,14.000000,0.675000,2.275000,11.725000,39.235264,-77.968965,39.235304,-77.969119
3187.238960,39.235243,-77.969001,-0.000100,14.000000,0.675000,2.275000,11.725000,39.235236,-77.968976,39.235277,-77.969130
3190.432586,39.235216,-77.969013,-0.000237,14.000000,0.675000,2.275000,11.725000,39.235209,-77.968988,39.235249,-77.969142
